Iterations,N,A,Erlang Energy Consumption(J),Scala Energy Consumption(J)
10,10000,50,147.33594061666668,34.94987496
10,10000,100,323.3513346400001,59.5183124
10,10000,500,1750.1836084184183,192.0858475657143
10,10000,1000,3693.836214620892,437.58662673818174
10,10000,5000,18496.97969537813,2719.586663017109
10,10000,10000,39770.955599760135,5913.914844685083
10,10000,50000,190567.24845829338,35361.01146296197
10,10000,100000,373426.63960410166,72667.88304089123
