Iterations,N,Erlang Energy Consumption(J),Scala Energy Consumption(J)
10,50000,38.581239360714285,103.1352059622857
10,100000,87.43004804262836,157.68518146370002
10,500000,497.91302380203496,446.5520424503389
10,1000000,973.1164861205654,1225.8918795977793
10,5000000,7947.932619596368,10305.052958911716
10,10000000,21150.41876440763,26641.183669941212
