Iterations,N,A,Erlang Energy Consumption(J),Scala Energy Consumption(J)
10,10000,50,144.71504491481767,38.5830781824
10,20000,100,677.2312179393138,83.68442658658722
10,100000,500,18142.29273471105,1234.3999207502418
