Iterations,N,R,Erlang Energy Consumption(J),Scala Energy Consumption(J),Erlang Total Time(s),Scala Total Time(s)
10,10000,100000000,5649.0922808908335,12408.315630613482,534.03946,431.55777
10,50000,100000000,6087.734578939248,14135.553332678839,603.3945900000001,470.58880000000005
10,100000,100000000,6871.88239996387,14729.381980492259,579.4191500000001,496.82791
10,500000,100000000,7516.075212114983,16046.770841775317,626.7088,501.01924
10,1000000,100000000,7758.4860612249995,17703.88483325783,649.85295,559.3914100000002
10,5000000,100000000,65204.5650290549,36661.78798030542,4031.6056599999997,1233.53237
10,10000000,100000000,74634.18925099292,94524.17080033373,4510.61127,3251.13292
10,20000000,100000000,100222.31669104489,482376.94918175886,5912.44919,17127.47054
