Iterations,N,M,Erlang Energy Consumption(J),Scala Energy Consumption(J)
10,50,100000,3841.496262069449,1694.5723096305535
10,100,100000,7996.805200803894,3556.7262095615893
10,500,100000,50882.20609401473,16595.96210762084
10,1000,100000,109850.08407733099,30933.84862939101
10,5000,100000,708676.6783530856,173407.02188047778
