Iterations,N,R,Erlang Energy Consumption(J),Scala Energy Consumption(J),Erlang Total Time(s),Scala Total Time(s)
10,10000,1000000000,51625.97635307079,131262.54051468152,5717.68833,4210.92333
10,50000,1000000000,67486.11489170333,151198.24521609748,6086.46793,4929.070880000001
10,100000,1000000000,69392.12639596665,148241.88796581686,5762.70132,4987.18058
10,500000,1000000000,67534.24307394243,151986.43426921556,5813.766140000001,4780.400519999999
10,1000000,1000000000,62887.731372935785,154741.59273883593,5850.08023,4999.39275
10,5000000,1000000000,666956.1556101317,232961.0207670953,40192.74057,7767.38878
10,10000000,1000000000,640072.3987684548,251226.39834936676,41767.28211,8330.33997
