Iterations,N,M,Erlang Energy Consumption(J),Scala Energy Consumption(J),Erlang Total Time(s),Scala Total Time(s)
10,100,10000,702.0879715453278,339.4195068894001,25.82171,9.577290000000001
10,500,50000,25623.52634638775,7781.563348427416,837.23004,253.50423999999998
10,1000,100000,109850.08407733099,30933.84862939101,3639.71129,1010.39166
