Iterations,N,R,Erlang Energy Consumption(J),Scala Energy Consumption(J),Erlang Total Time(s),Scala Total Time(s)
10,100000,1000000,149.6865003329701,458.64257053869915,9.200380000000001,12.917649999999998
10,100000,5000000,396.1277747335883,1042.733450781393,32.84497,32.78832
10,100000,10000000,732.5197725525048,1718.382712746429,61.38684000000001,56.2762
10,100000,50000000,3449.7800286211504,8092.251299814794,290.89625,266.34681000000006
10,100000,100000000,6740.43353714065,16091.472509209934,579.99924,524.62854
10,100000,500000000,34742.65066066497,82401.73938383558,2888.84527,2674.1908
10,100000,1000000000,69392.12639596665,148241.88796581686,5762.70132,4987.18058
10,100000,2000000000,141523.5719539274,318487.727262749,14424.86852,10601.17539
