Iterations,N,R,Erlang Energy Consumption(J),Scala Energy Consumption(J),Erlang Total Time(s),Scala Total Time(s)
10,10000,1000000,80.54037849489383,210.6511293701887,6.388700000000001,5.8576500000000005
10,50000,5000000,359.43275322898467,924.8526763086262,34.52903,28.69193
10,100000,10000000,780.0071147274195,1792.6311019368968,62.43110000000001,58.31179
10,500000,50000000,3746.5180460754195,8841.581362764347,316.24344,277.5292
10,1000000,100000000,7846.704633472796,17014.228293495456,637.7017400000001,559.28797
10,5000000,500000000,324344.44984302705,125888.01008882912,20122.049990000003,4119.342259999999
10,10000000,1000000000,640072.3987684548,251226.39834936676,41767.28211,8330.33997
