Iterations,N,M,Erlang Energy Consumption(J),Scala Energy Consumption(J),Erlang Total Time(s),Scala Total Time(s)
10,1000,1000,949.4163454373083,375.01157421939564,33.61141000000001,10.479479999999999
10,1000,5000,5212.860711297588,1661.2248905446042,171.80185,51.28961
10,1000,10000,10481.755189922651,3093.8167396827,342.68911,100.58651
10,1000,50000,53910.125275192455,17407.828094891785,1804.85475,567.08523
10,1000,100000,109850.08407733099,30933.84862939101,3639.71129,1010.39166
